Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
k assis sur genou;2;S-28.0;S97.69;S-6.11;S-17.1;S71.7;S31.23;S-8.65;S-11.06;S23.78;S2.77;S5.0;S116.18;S64.75;S-33.63;S-96.46;S3.12;S-6.11;S-75.81;S-67.3;S15.16;S4.88;S-18.95;S5.23;S5.0;S119.78;S64.84;S0.0;S43.0;S-1.1
k main haut;14;S-61.58;S88.04;S15.69;S-105.36;S70.82;S30.06;S-25.95;S-1.09;S21.05;S3.21;S6.55;S123.38;S65.01;S-34.86;S-97.27;S2.77;S-6.73;S-76.1;S-64.66;S15.08;S4.09;S-19.91;S6.2;S5.49;S122.68;S64.66;S-0.57;S43.38;S-1.36
k glisser ext;1;S-52.44;S83.56;S8.22;S-118.81;S114.22;S-5.13;S-25.95;S-0.79;S21.05;S3.47;S7.08;S123.91;S65.01;S-35.47;S-97.27;S2.77;S-7.08;S-76.39;S-64.08;S15.87;S3.74;S-20.53;S6.73;S5.76;S123.03;S64.66;S-0.75;S43.74;S-1.89
k glisser int;6;S-64.31;S91.56;S26.77;S-100.53;S108.94;S29.47;S-25.95;S-0.79;S21.05;S3.47;S7.52;S124.0;S64.92;S-35.65;S-97.27;S2.68;S-7.25;S-76.39;S-64.08;S15.6;S3.65;S-20.62;S6.9;S6.02;S123.03;S64.66;S-0.92;S44.0;S-1.19
k glisser ext;2;S-52.44;S83.56;S8.22;S-118.81;S114.22;S-5.13;S-25.95;S-0.79;S21.05;S3.47;S7.08;S123.91;S65.01;S-35.47;S-97.27;S2.77;S-7.08;S-76.39;S-64.08;S15.87;S3.74;S-20.53;S6.73;S5.76;S123.03;S64.66;S-0.75;S43.74;S-1.89
k main haut;1;S-61.58;S88.04;S15.69;S-105.36;S70.82;S30.06;S-25.95;S-1.09;S21.05;S3.21;S6.55;S123.38;S65.01;S-34.86;S-97.27;S2.77;S-6.73;S-76.1;S-64.66;S15.08;S4.09;S-19.91;S6.2;S5.49;S122.68;S64.66;S-0.57;S43.38;S-1.36
k pose C3;5;S-79.69;S44.44;S50.95;S-114.51;S-80.79;S-28.59;S3.96;S-0.5;S20.62;S1.71;S15.08;S124.26;S65.19;S-58.51;S-24.57;S-26.51;S-127.96;S95.45;S12.76;S-6.02;S5.23;S-20.62;S13.05;S14.2;S123.21;S64.84;S1.1;S49.27;S-1.54
k pose C3;3;S-79.69;S44.44;S50.95;S-114.51;S-80.79;S-28.59;S3.96;S-0.5;S20.62;S1.71;S15.08;S124.26;S65.19;S-58.51;S-24.57;S-26.51;S-127.96;S95.45;S12.76;S-6.02;S5.23;S-20.62;S13.05;S14.2;S123.21;S64.84;S1.1;S49.27;S-1.54
k pistol en haut;8;S-160.4;S96.84;S-5.67;S-32.57;S-2.49;S-2.49;S0.73;S22.08;S21.23;S2.42;S6.73;S123.74;S65.63;S-34.59;S-96.48;S2.95;S-7.08;S-74.93;S-64.96;S14.2;S3.74;S-19.82;S6.55;S6.37;S122.95;S64.92;S-0.92;S42.51;S-1.71
k pistol en haut;3;S-160.4;S96.84;S-5.67;S-32.57;S-2.49;S-2.49;S0.73;S22.08;S21.23;S2.42;S6.73;S123.74;S65.63;S-34.59;S-96.48;S2.95;S-7.08;S-74.93;S-64.96;S14.2;S3.74;S-19.82;S6.55;S6.37;S122.95;S64.92;S-0.92;S42.51;S-1.71
k pistol en bas;8;S-66.95;S93.32;S-5.67;S0.04;S11.29;S-3.67;S0.15;S21.2;S21.23;S2.15;S7.34;S124.0;S65.63;S-35.65;S-96.75;S2.68;S-7.78;S-75.81;S-64.37;S14.46;S3.38;S-20.7;S6.73;S6.81;S123.21;S64.84;S-1.19;S43.03;S-1.63
k pistol en bas;10;S-66.95;S93.32;S-5.67;S0.04;S11.29;S-3.67;S0.15;S21.2;S21.23;S2.15;S7.34;S124.0;S65.63;S-35.65;S-96.75;S2.68;S-7.78;S-75.81;S-64.37;S14.46;S3.38;S-20.7;S6.73;S6.81;S123.21;S64.84;S-1.19;S43.03;S-1.63
k anonciation;3;S-53.67;S71.85;S32.31;S-30.2;S82.55;S-6.01;S-4.55;S22.08;S22.11;S1.63;S14.11;S119.87;S64.84;S-130.33;S-79.23;S-31.78;S-55.34;S-115.4;S-44.43;S55.08;S11.21;S-22.55;S16.22;S7.52;S119.96;S64.66;S-0.31;S25.54;S9.45
k anonciation;3;S-53.67;S71.85;S32.31;S-30.2;S82.55;S-6.01;S-4.55;S22.08;S22.11;S1.63;S14.11;S119.87;S64.84;S-130.33;S-79.23;S-31.78;S-55.34;S-115.4;S-44.43;S55.08;S11.21;S-22.55;S16.22;S7.52;S119.96;S64.66;S-0.31;S25.54;S9.45
k  couronne;3;S-126.02;S94.73;S18.07;S-108.44;S7.48;S21.26;S0.73;S-10.18;S21.14;S1.89;S6.81;S124.0;S65.63;S-124.0;S-87.78;S-15.78;S-116.7;S-16.57;S-17.16;S-5.14;S-2.59;S-20.79;S6.46;S6.64;S123.3;S64.84;S-0.04;S43.03;S-1.27
k  couronne;1;S-126.02;S94.73;S18.07;S-108.44;S7.48;S21.26;S0.73;S-10.18;S21.14;S1.89;S6.81;S124.0;S65.63;S-124.0;S-87.78;S-15.78;S-116.7;S-16.57;S-17.16;S-5.14;S-2.59;S-20.79;S6.46;S6.64;S123.3;S64.84;S-0.04;S43.03;S-1.27
k couronne bas;3;S-54.81;S90.15;S18.51;S-43.74;S-19.79;S42.67;S-0.15;S-9.88;S21.58;S1.63;S7.78;S124.09;S65.63;S-64.92;S-96.4;S-40.04;S-34.33;S5.72;S-16.57;S35.12;S8.66;S-20.44;S6.11;S7.16;S123.21;S64.84;S-5.76;S48.22;S41.8
k couronne bas;1;S-54.81;S90.15;S18.51;S-43.74;S-19.79;S42.67;S-0.15;S-9.88;S21.58;S1.63;S7.78;S124.09;S65.63;S-64.92;S-96.4;S-40.04;S-34.33;S5.72;S-16.57;S35.12;S8.66;S-20.44;S6.11;S7.16;S123.21;S64.84;S-5.76;S48.22;S41.8
toto;3;S-85.67;S100.42;S-5.85;S2.86;S71.99;S19.5;S-0.44;S-6.07;S21.05;S2.24;S5.23;S119.6;S64.84;S-84.7;S-99.36;S10.42;S-1.45;S-75.22;S-61.73;S47.96;S2.24;S-22.02;S5.32;S4.88;S119.78;S64.57;S-0.92;S52.0;S1.01
toto;1;S-117.23;S98.22;S6.02;S-1.36;S72.29;S22.14;S-0.44;S0.97;S25.54;S6.2;S-1.63;S119.78;S64.84;S-122.51;S-100.15;S-9.63;S1.54;S-74.34;S-61.44;S69.05;S1.1;S-27.3;S0.75;S-2.77;S119.87;S64.48;S-3.03;S51.82;S0.66
toto;1;S-118.81;S98.13;S6.81;S-2.42;S72.29;S29.18;S-0.44;S0.67;S25.54;S8.04;S-5.41;S119.78;S64.84;S-123.74;S-100.15;S-9.98;S1.45;S-74.34;S-61.44;S69.05;S1.1;S-27.21;S-1.19;S-6.64;S119.87;S64.57;S-3.12;S51.91;S0.66
toto;1;S-122.15;S89.34;S33.63;S-6.37;S71.7;S54.99;S-0.44;S0.97;S25.36;S10.95;S-11.12;S119.78;S64.84;S-128.04;S-95.49;S-45.05;S-0.75;S-74.34;S-61.73;S69.05;S1.1;S-26.33;S-3.91;S-12.79;S119.87;S64.48;S-2.86;S51.91;S2.42
